RANK_POOL_PSEUDONAME	RANK_POOL	BU_TEAM_LEVEL	DATA_TYPE	RANK_POOL_VISIBILITY_FLAG
BCBU BLUE BASE PSR Without Over	BCBU_BLUE BASE_PSR_Without_Over	BCBU_BLUE BASE_PSR	LEADERBOARD	1
BCBU BLUE BASE RSD	BCBU_BLUE BASE_RSD	BCBU_BLUE BASE_RSD	LEADERBOARD	1
BCBU BLUE BASE DM	BCBU_BLUE BASE_DM	BCBU_BLUE BASE_DM	LEADERBOARD	1
BCBU WHITE BASE DM	BCBU_WHITE BASE_DM	BCBU_WHITE BASE_DM	LEADERBOARD	1
BCBU BLUE OVER PSR	BCBU_BLUE OVER_PSR	BCBU_BLUE OVER_PSR	LEADERBOARD	1
BCBU WHITE BASE RSD	BCBU_WHITE BASE_RSD	BCBU_WHITE BASE_RSD	LEADERBOARD	1
BCBU BLUE BASE PSR With Over	BCBU_BLUE BASE_PSR_With_Over	BCBU_BLUE BASE_PSR	LEADERBOARD	1
BCBU RED BASE RSD	BCBU_RED BASE_RSD	BCBU_RED BASE_RSD	LEADERBOARD	1
BCBU RED BASE DM	BCBU_RED BASE_DM	BCBU_RED BASE_DM	LEADERBOARD	1
BCBU RED KAM SD	BCBU_RED KAM_SD	BCBU_RED KAM_SD	LEADERBOARD	1
BCBU RED KAM KAM	BCBU_RED KAM_KAM	BCBU_RED KAM_KAM	LEADERBOARD	1
BCBU RED BASE PSR	BCBU_RED BASE_PSR	BCBU_RED BASE_PSR	LEADERBOARD	1
BCBU WHITE BASE PSR	BCBU_WHITE BASE_PSR	BCBU_WHITE BASE_PSR	LEADERBOARD	1
BCBU RED OVER PSR	BCBU_RED OVER_PSR	BCBU_RED OVER_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 3_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 6 INV_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 2_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 5_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 1_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 7 INV_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 8 INV_PSR	LEADERBOARD	1
CA PR PSR	CA_PR_PSR	CA_PR SF 4_PSR	LEADERBOARD	1
INBU INBU PEAK SF DM	INBU_INBU PEAK SF_DM	INBU_INBU PEAK SF_DM	LEADERBOARD	1
INBU INBU ZENITH SF CAM	INBU_INBU ZENITH SF_CAM	INBU_INBU ZENITH SF_CAM	LEADERBOARD	1
INBU OTEZLA RD SF DSM	INBU_OTEZLA RD SF_DSM	INBU_OTEZLA RD SF_DSM	LEADERBOARD	1
INBU INBU APEX SF RSD	INBU_INBU APEX SF_RSD	INBU_INBU APEX SF_RSD	LEADERBOARD	1
INBU INBU PINNACLE SF PSR	INBU_INBU PINNACLE SF_PSR	INBU_INBU PINNACLE SF_PSR	LEADERBOARD	1
INBU INBU APEX SF PSR	INBU_INBU APEX SF_PSR	INBU_INBU APEX SF_PSR	LEADERBOARD	1
INBU INBU APEX SF DM	INBU_INBU APEX SF_DM	INBU_INBU APEX SF_DM	LEADERBOARD	1
INBU INBU SUMMIT SF PSR	INBU_INBU SUMMIT SF_PSR	INBU_INBU SUMMIT SF_PSR	LEADERBOARD	1
INBU INBU PEAK SF PSR	INBU_INBU PEAK SF_PSR	INBU_INBU PEAK SF_PSR	LEADERBOARD	1
INBU OTEZLA RD SF RBD	INBU_OTEZLA RD SF_RBD	INBU_OTEZLA RD SF_RBD	LEADERBOARD	1
INBU OTEZLA DERM SF PSR	INBU_OTEZLA DERM SF_PSR	INBU_OTEZLA DERM SF_PSR	LEADERBOARD	1
INBU OTEZLA RHEUM SF PSR	INBU_OTEZLA RHEUM SF_PSR	INBU_OTEZLA RHEUM SF_PSR	LEADERBOARD	1
NUBU NEUROLOGY SF DM	NUBU_NEUROLOGY SF_DM	NUBU_NEUROLOGY SF_DM	LEADERBOARD	1
NUBU NEUROLOGY SF PSR	NUBU_NEUROLOGY SF_PSR	NUBU_NEUROLOGY SF_PSR	LEADERBOARD	1
NUBU NEUROLOGY SF RSD	NUBU_NEUROLOGY SF_RSD	NUBU_NEUROLOGY SF_RSD	LEADERBOARD	1
OBU HEM LEUK SF PSR	OBU_HEM LEUK SF_PSR	OBU_HEM LEUK SF_PSR	LEADERBOARD	1
OBU ONC OPAL KAM OKAM	OBU_ONC OPAL KAM_OKAM	OBU_ONC OPAL KAM_OKAM	LEADERBOARD	1
OBU HEM MM SF and HEM LEUK SF RSD	OBU_HEM MM SF and HEM LEUK SF_RSD	OBU_HEM MM SF_RSD	LEADERBOARD	1
OBU HEM MM SF and HEM LEUK SF DM	OBU_HEM MM SF and HEM LEUK SF_DM	OBU_HEM LEUK SF_DM	LEADERBOARD	1
OBU ONC EMERALD DM	OBU_ONC EMERALD_DM	OBU_ONC EMERALD_DM	LEADERBOARD	1
OBU ONC RS DM	OBU_ONC RS_DM	OBU_ONC RS_DM	LEADERBOARD	1
OBU HEM MM SF and HEM LEUK SF DM	OBU_HEM MM SF and HEM LEUK SF_DM	OBU_HEM MM SF_DM	LEADERBOARD	1
OBU ONC EMERALD PSR	OBU_ONC EMERALD_PSR	OBU_ONC EMERALD_PSR	LEADERBOARD	1
OBU ONC RUBY PSR	OBU_ONC RUBY_PSR	OBU_ONC RUBY_PSR	LEADERBOARD	1
OBU ONC OPAL PSR	OBU_ONC OPAL_PSR	OBU_ONC OPAL_PSR	LEADERBOARD	1
OBU ONC ERS RSD	OBU_ONC ERS_RSD	OBU_ONC ERS_RSD	LEADERBOARD	1
OBU HEM MM SF PSR	OBU_HEM MM SF_PSR	OBU_HEM MM SF_PSR	LEADERBOARD	1
OBU ONC SAPPHIRE PSR	OBU_ONC SAPPHIRE_PSR	OBU_ONC SAPPHIRE_PSR	LEADERBOARD	1
OBU HEM MM SF and HEM LEUK SF RSD	OBU_HEM MM SF and HEM LEUK SF_RSD	OBU_HEM LEUK SF_RSD	LEADERBOARD	1
OBU ONC OPAL DM	OBU_ONC OPAL_DM	OBU_ONC OPAL_DM	LEADERBOARD	1
OBU ONC OPAL and ONC OPAL KAM RSD	OBU_ONC OPAL and ONC OPAL KAM_RSD	OBU_ONC OPAL_RSD	LEADERBOARD	1
OBU ONC OPAL and ONC OPAL KAM RSD	OBU_ONC OPAL and ONC OPAL KAM_RSD	OBU_ONC OPAL KAM_RSD	LEADERBOARD	1
BCBU BLUE BASE PSR With Over	BCBU_BLUE BASE_PSR_With_Over	BCBU_BLUE BASE_PSR	INTHEMOMENT	1
INBU INBU PINNACLE SF PSR	INBU_INBU PINNACLE SF_PSR	INBU_INBU PINNACLE SF_PSR	INTHEMOMENT	1
INBU INBU APEX SF PSR	INBU_INBU APEX SF_PSR	INBU_INBU APEX SF_PSR	INTHEMOMENT	1
BCBU RED BASE PSR 1:01	BCBU_RED BASE_PSR_1:01	BCBU_RED BASE_PSR	INTHEMOMENT	1
BCBU RED OVER PSR	BCBU_RED OVER_PSR	BCBU_RED OVER_PSR	INTHEMOMENT	1
BCBU BLUE BASE PSR Without Over	BCBU_BLUE BASE_PSR_Without_Over	BCBU_BLUE BASE_PSR	INTHEMOMENT	1
INBU INBU PEAK SF PSR	INBU_INBU PEAK SF_PSR	INBU_INBU PEAK SF_PSR	INTHEMOMENT	1
INBU INBU APEX SF DM	INBU_INBU APEX SF_DM	INBU_INBU APEX SF_DM	INTHEMOMENT	1
INBU INBU APEX SF DM Avsola	INBU_INBU APEX SF_DM_Avsola	INBU_INBU APEX SF_DM	INTHEMOMENT	1
BCBU BLUE BASE DM	BCBU_BLUE BASE_DM	BCBU_BLUE BASE_DM	INTHEMOMENT	1
INBU INBU SUMMIT SF PSR	INBU_INBU SUMMIT SF_PSR	INBU_INBU SUMMIT SF_PSR	INTHEMOMENT	1
BCBU RED BASE PSR 1:00	BCBU_RED BASE_PSR_1:00	BCBU_RED BASE_PSR	INTHEMOMENT	1
BCBU RED BASE DM	BCBU_RED BASE_DM	BCBU_RED BASE_DM	INTHEMOMENT	1
INBU INBU ZENITH SF CAM	INBU_INBU ZENITH SF_CAM	INBU_INBU ZENITH SF_CAM	INTHEMOMENT	1
BCBU BLUE OVER PSR	BCBU_BLUE OVER_PSR	BCBU_BLUE OVER_PSR	INTHEMOMENT	1
INBU INBU APEX SF RSD	INBU_INBU APEX SF_RSD	INBU_INBU APEX SF_RSD	INTHEMOMENT	1
INBU INBU PEAK SF DM	INBU_INBU PEAK SF_DM	INBU_INBU PEAK SF_DM	INTHEMOMENT	1
BCBU BLUE BASE RSD	BCBU_BLUE BASE_RSD	BCBU_BLUE BASE_RSD	INTHEMOMENT	1
BCBU RED BASE RSD	BCBU_RED BASE_RSD	BCBU_RED BASE_RSD	INTHEMOMENT	1
